_id,ags2,bundesland,datum,bl_mn_idx_m,bl_mn_idx_m_m02a,bl_mn_idx_m_m02b,bl_mn_idx_m_m03,bl_mn_idx_m_m16
1,01,Schleswig-Holstein,2020-03,20.082,26.758,21.904,18.534,0.0
2,01,Schleswig-Holstein,2020-04,53.731,49.462,46.338,34.326,1.533
3,01,Schleswig-Holstein,2020-05,42.357,39.583,39.796,35.209,23.0
4,01,Schleswig-Holstein,2020-06,32.864,9.479,9.026,13.69,23.0
5,01,Schleswig-Holstein,2020-07,27.982,0.0,0.0,0.0,23.0
6,01,Schleswig-Holstein,2020-08,25.799,0.626,1.252,1.849,36.649
7,01,Schleswig-Holstein,2020-09,27.06,0.0,0.0,0.0,56.0
8,01,Schleswig-Holstein,2020-10,26.083,0.0,0.0,0.0,62.151
9,01,Schleswig-Holstein,2020-11,43.932,0.0,0.0,0.0,66.658
10,01,Schleswig-Holstein,2020-12,48.539,47.366,40.092,0.76,41.097
11,01,Schleswig-Holstein,2021-01,58.483,81.009,80.413,7.922,34.0
12,01,Schleswig-Holstein,2021-02,58.155,80.436,80.436,0.288,34.0
13,01,Schleswig-Holstein,2021-03,53.458,81.265,80.2,9.278,41.097
14,01,Schleswig-Holstein,2021-04,52.985,80.2,80.2,13.576,56.0
15,01,Schleswig-Holstein,2021-05,26.891,68.032,68.032,0.0,39.323
16,01,Schleswig-Holstein,2021-06,28.447,8.02,8.02,2.773,36.2
17,01,Schleswig-Holstein,2021-07,46.129,80.2,80.2,20.8,56.0
18,01,Schleswig-Holstein,2021-08,39.727,80.2,80.2,20.8,56.0
19,01,Schleswig-Holstein,2021-09,41.356,80.2,80.2,20.8,56.0
20,01,Schleswig-Holstein,2021-10,42.791,80.2,80.2,20.8,56.0
21,01,Schleswig-Holstein,2021-11,42.791,80.2,80.2,20.8,56.0
22,01,Schleswig-Holstein,2021-12,41.625,57.206,57.206,20.8,56.0
23,01,Schleswig-Holstein,2022-01,43.198,40.6,40.6,20.8,56.0
24,01,Schleswig-Holstein,2022-02,43.975,40.6,40.6,20.8,56.0
25,01,Schleswig-Holstein,2022-03,43.652,40.6,40.6,20.8,56.0
26,01,Schleswig-Holstein,2022-04,11.362,22.12,22.12,20.8,14.933
27,01,Schleswig-Holstein,2022-05,9.056,20.8,20.8,20.8,12.0
28,01,Schleswig-Holstein,2022-06,9.056,20.8,20.8,20.8,12.0
29,01,Schleswig-Holstein,2022-07,9.056,20.8,20.8,20.8,12.0
30,01,Schleswig-Holstein,2022-08,9.056,20.8,20.8,20.8,12.0
31,01,Schleswig-Holstein,2022-09,9.056,20.8,20.8,20.8,12.0
32,01,Schleswig-Holstein,2022-10,9.056,20.8,20.8,20.8,12.0
33,01,Schleswig-Holstein,2022-11,9.056,20.8,20.8,20.8,12.0
34,01,Schleswig-Holstein,2022-12,9.056,20.8,20.8,20.8,12.0
35,02,Hamburg,2020-03,25.227,37.019,1.342,23.381,0.0
36,02,Hamburg,2020-04,51.45,60.4,20.8,60.4,0.0
37,02,Hamburg,2020-05,51.45,60.4,20.8,60.4,0.0
38,02,Hamburg,2020-06,50.561,59.08,20.8,59.08,1.133
39,02,Hamburg,2020-07,24.766,20.8,20.8,20.8,34.0
40,02,Hamburg,2020-08,24.766,20.8,20.8,20.8,34.0
41,02,Hamburg,2020-09,23.577,5.547,20.8,20.8,34.0
42,02,Hamburg,2020-10,26.626,5.368,20.8,20.8,34.0
43,02,Hamburg,2020-11,45.523,20.8,20.8,20.8,34.0
44,02,Hamburg,2020-12,32.346,41.239,20.8,20.8,34.0
45,02,Hamburg,2021-01,54.359,31.658,36.129,20.8,34.0
46,02,Hamburg,2021-02,57.258,20.8,40.6,29.286,34.0
47,02,Hamburg,2021-03,57.875,20.8,40.6,80.2,34.0
48,02,Hamburg,2021-04,59.556,39.94,40.6,80.2,34.0
49,02,Hamburg,2021-05,60.091,40.6,40.6,80.2,48.194
50,02,Hamburg,2021-06,13.04,2.707,2.707,5.347,3.733
51,02,Hamburg,2021-07,60.677,40.6,40.6,80.2,61.677
52,02,Hamburg,2021-08,52.372,40.6,40.6,80.2,100.0
53,02,Hamburg,2021-09,52.908,40.6,40.6,80.2,100.0
54,02,Hamburg,2021-10,53.52,40.6,40.6,80.2,100.0
55,02,Hamburg,2021-11,53.52,40.6,40.6,80.2,100.0
56,02,Hamburg,2021-12,49.526,40.6,40.6,49.542,77.29
57,02,Hamburg,2022-01,45.125,40.6,40.6,20.8,49.613
58,02,Hamburg,2022-02,43.955,40.6,40.6,20.8,45.0
59,02,Hamburg,2022-03,44.232,40.6,40.6,20.8,45.0
60,02,Hamburg,2022-04,21.622,40.6,40.6,20.8,23.733
61,02,Hamburg,2022-05,10.81,36.768,32.742,20.8,13.065
62,02,Hamburg,2022-06,7.896,26.74,12.18,20.8,12.0
63,02,Hamburg,2022-07,9.734,40.6,40.6,20.8,12.0
64,02,Hamburg,2022-08,9.734,40.6,40.6,20.8,12.0
65,02,Hamburg,2022-09,9.734,40.6,40.6,20.8,12.0
66,02,Hamburg,2022-10,9.734,40.6,40.6,20.8,12.0
67,02,Hamburg,2022-11,9.734,40.6,40.6,20.8,12.0
68,02,Hamburg,2022-12,9.734,40.6,40.6,20.8,12.0
69,03,Niedersachsen,2020-03,7.285,16.022,15.792,14.775,0.0
70,03,Niedersachsen,2020-04,48.477,77.56,77.56,80.2,1.689
71,03,Niedersachsen,2020-05,40.366,60.4,60.4,54.013,19.452
72,03,Niedersachsen,2020-06,35.2,60.796,60.796,40.6,23.179
73,03,Niedersachsen,2020-07,33.483,60.797,60.797,28.465,23.047
74,03,Niedersachsen,2020-08,32.694,60.4,60.4,20.8,35.419
75,03,Niedersachsen,2020-09,35.51,60.4,60.4,20.8,100.0
76,03,Niedersachsen,2020-10,37.917,31.019,60.4,20.8,100.0
77,03,Niedersachsen,2020-11,52.186,39.94,78.22,39.94,100.0
78,03,Niedersachsen,2020-12,49.549,40.997,40.6,40.6,100.0
79,03,Niedersachsen,2021-01,55.178,54.652,54.013,49.542,100.0
80,03,Niedersachsen,2021-02,60.646,60.4,100.0,80.2,100.0
81,03,Niedersachsen,2021-03,55.774,28.425,28.425,59.279,100.0
82,03,Niedersachsen,2021-04,54.257,27.52,27.52,42.008,51.535
83,03,Niedersachsen,2021-05,45.686,52.703,52.703,40.6,45.71
